Team,PES,HOvrPES,HDefPES,HMidPES,HFwdPES,HPhyPES,HSpdPES,AOvrPES,ADefPES,AMidPES,AFwdPES,APhyPES,ASpdPES
Arsenal,12,78,79,78,81,79,79,78,79,78,81,79,79
Aston Villa,12,75,76,74,73,78,78,75,76,74,73,78,78
Blackburn,12,71,74,69,74,79,77,71,74,69,74,79,77
Bolton,12,73,75,75,70,79,77,73,75,75,70,79,77
Chelsea,12,81,81,83,77,81,78,81,81,83,77,81,78
Everton,12,73,78,76,72,79,77,73,78,76,72,79,77
Fulham,12,73,76,72,74,78,75,73,76,72,74,78,75
Liverpool,12,78,76,80,75,79,78,78,76,80,75,79,78
Man City,12,81,79,84,81,81,80,81,79,84,81,81,80
Man United,12,80,83,81,80,79,77,80,83,81,80,79,77
Newcastle,12,73,75,73,69,79,78,73,75,73,69,79,78
Norwich,12,69,72,68,65,76,75,69,72,68,65,76,75
QPR,12,73,74,75,71,80,78,73,74,75,71,80,78
Stoke,12,74,75,74,71,82,76,74,75,74,71,82,76
Sunderland,12,73,76,73,70,78,77,73,76,73,70,78,77
Swansea,12,70,73,70,70,75,77,70,73,70,70,75,77
Tottenham,12,79,80,81,75,79,78,79,80,81,75,79,78
West Brom,12,71,72,71,66,78,76,71,72,71,66,78,76
Wigan,12,72,72,73,69,77,76,72,72,73,69,77,76
Wolves,12,71,76,71,67,77,76,71,76,71,67,77,76
