,AC,ACLPP,ADefPES,AFwdPES,AGLPP,AMidPES,AOvrPES,APhyPES,AS,ASLPP,AST,ASTLPP,ASpdPES,AStreak,ATGDference,ATPts,AwayTeam,DiffCLPP,DiffDefPES,DiffFwdPES,DiffGDference,DiffGLPP,DiffMidPES,DiffOvrPES,DiffPhyPES,DiffPts,DiffSLPP,DiffSTLPP,DiffSpdPES,DiffStreak,FTAG,FTHG,FTR,HC,HCLPP,HDefPES,HFwdPES,HGLPP,HMidPES,HOvrPES,HPhyPES,HS,HSLPP,HST,HSTLPP,HSpdPES,HStreak,HTGDference,HTPts,HomeTeam,MW,Season
0,7.0,,0.8780487804878049,0.8658536585365854,,0.9367088607594937,0.9113924050632911,0.9629629629629629,12.0,,2.0,,0.975,,0.0,0.0,West Ham,,0.07692307692307693,0.4,0.0,,-0.18181818181818182,0.2,0.0,0.0,,,0.25,,0.0,3.0,H,16.0,,0.8902439024390244,0.9390243902439024,,0.9113924050632911,0.9367088607594937,0.9629629629629629,23.0,,11.0,,0.9875,,0.0,0.0,Aston Villa,1,1011
1,3.0,,0.926829268292683,0.8414634146341463,,0.8987341772151899,0.9113924050632911,0.9753086419753086,17.0,,12.0,,0.9625,,0.0,0.0,Everton,,-0.07692307692307693,0.06666666666666667,0.0,,-0.2727272727272727,-0.1,0.25,0.0,,,-0.25,,0.0,1.0,H,1.0,,0.9146341463414634,0.8536585365853658,,0.8607594936708861,0.8987341772151899,0.9876543209876543,7.0,,2.0,,0.95,,0.0,0.0,Blackburn,1,1011
2,8.0,,0.926829268292683,0.9024390243902439,,0.9240506329113924,0.9367088607594937,0.9753086419753086,12.0,,7.0,,0.95,,0.0,0.0,Fulham,,-0.07692307692307693,-0.4,0.0,,0.09090909090909091,-0.2,0.0,0.0,,,0.25,,0.0,0.0,D,4.0,,0.9146341463414634,0.8292682926829268,,0.9367088607594937,0.9113924050632911,0.9753086419753086,13.0,,9.0,,0.9625,,0.0,0.0,Bolton,1,1011
3,1.0,,0.9024390243902439,0.8292682926829268,,0.8987341772151899,0.9113924050632911,0.9753086419753086,10.0,,4.0,,0.975,,0.0,0.0,West Brom,,0.6153846153846154,0.5333333333333333,0.0,,0.45454545454545453,0.5,0.0,0.0,,,0.0,,0.0,6.0,H,3.0,,1.0,0.926829268292683,,0.9620253164556962,0.9746835443037974,0.9753086419753086,18.0,,13.0,,0.975,,0.0,0.0,Chelsea,1,1011
4,6.0,,0.9390243902439024,0.8902439024390244,,0.8987341772151899,0.9240506329113924,0.9629629629629629,13.0,,7.0,,0.9625,,0.0,0.0,Birmingham,,-0.23076923076923078,-0.06666666666666667,0.0,,0.18181818181818182,0.0,0.0,0.0,,,0.5,,2.0,2.0,D,3.0,,0.9024390243902439,0.8780487804878049,,0.9240506329113924,0.9240506329113924,0.9629629629629629,6.0,,2.0,,0.9875,,0.0,0.0,Sunderland,1,1011
5,3.0,,0.9512195121951219,0.975609756097561,,0.9493670886075949,0.9746835443037974,1.0,11.0,,7.0,,0.9875,,0.0,0.0,Man City,,0.07692307692307693,-0.2,0.0,,0.36363636363636365,0.2,-0.25,0.0,,,-0.25,,0.0,0.0,D,10.0,,0.9634146341463414,0.9390243902439024,,1.0,1.0,0.9876543209876543,22.0,,18.0,,0.975,,0.0,0.0,Tottenham,1,1011
6,4.0,,0.8658536585365854,0.8414634146341463,,0.8607594936708861,0.8734177215189873,0.9506172839506173,9.0,,7.0,,0.95,,0.0,0.0,Blackpool,,0.15384615384615385,0.06666666666666667,0.0,,0.0,0.2,0.0,0.0,,,0.0,,4.0,0.0,A,6.0,,0.8902439024390244,0.8536585365853658,,0.8607594936708861,0.8987341772151899,0.9506172839506173,11.0,,6.0,,0.95,,0.0,0.0,Wigan,1,1011
7,5.0,,0.8536585365853658,0.8780487804878049,,0.8860759493670886,0.8987341772151899,1.0,10.0,,6.0,,0.95,,0.0,0.0,Stoke,,-0.07692307692307693,-0.2,0.0,,0.09090909090909091,0.0,-0.75,0.0,,,0.0,,1.0,2.0,H,5.0,,0.8414634146341463,0.8414634146341463,,0.8987341772151899,0.8987341772151899,0.9629629629629629,13.0,,7.0,,0.95,,0.0,0.0,Wolves,1,1011
8,11.0,,0.926829268292683,1.0,,0.9367088607594937,0.9746835443037974,0.9629629629629629,14.0,,7.0,,1.0,,0.0,0.0,Arsenal,,-0.15384615384615385,-0.6,0.0,,0.18181818181818182,-0.2,0.5,0.0,,,-1.0,,1.0,1.0,D,9.0,,0.9024390243902439,0.8902439024390244,,0.9620253164556962,0.9493670886075949,0.9876543209876543,7.0,,4.0,,0.95,,0.0,0.0,Liverpool,1,1011
9,3.0,,0.9390243902439024,0.8170731707317073,,0.8987341772151899,0.8987341772151899,0.9629629629629629,7.0,,3.0,,0.9625,,0.0,0.0,Newcastle,,-0.07692307692307693,0.7333333333333333,0.0,,0.6363636363636364,0.7,0.25,0.0,,,0.25,,0.0,3.0,H,5.0,,0.926829268292683,0.9512195121951219,,0.9873417721518988,0.9873417721518988,0.9753086419753086,18.0,,10.0,,0.975,,0.0,0.0,Man United,1,1011
